,,,,,,,,,,,,,,,,,,,
Month,Mar-22,Mar-21,Mar-20,Mar-19,Mar-18,Mar-17,Mar-16,Mar-15,Mar-14,Mar-13,Mar-12,Mar-11,Mar-10,Mar-09,Mar-08,Mar-07,Mar-06,Mar-05,Mar-04
Total Revenue/Income    (Cr) for tcs,191754,164177,156949,146463,123104,117966,108646,94648.41,81809.36,62989.48,48893.83,37324.51,30028.92,27812.88,22863.39,18685.21,13263.99,9774,0
Total Revenue/Income    (Cr) for reliance,699962,466924,597535,569209,391677,305382,273999,375435,434460,397062,358501,265811,203370,151335,137509,113776,82691.27,66465.19,52073.44
