date,close
 13_Oct_2022 ,2382.8
 14_Oct_2022 ,2370.7
 17_Oct_2022 ,2408.75
 18_Oct_2022 ,2451.25
 19_Oct_2022 ,2493.9
 20_Oct_2022 ,2500.6
 21_Oct_2022 ,2471.6
 24_Oct_2022 ,2479.85
 25_Oct_2022 ,2441.55
 27_Oct_2022 ,2451.15
 28_Oct_2022 ,2526.15
 31_Oct_2022 ,2549.6
 1_Nov_2022 ,2529.85
 2_Nov_2022 ,2545.65
 3_Nov_2022 ,2555.15
 4_Nov_2022 ,2592.75
 7_Nov_2022 ,2606.6
 9_Nov_2022 ,2604
 10_Nov_2022 ,2572.5
 11_Nov_2022 ,2631.8
 14_Nov_2022 ,2619.05
 15_Nov_2022 ,2607.3
 16_Nov_2022 ,2592.35
 17_Nov_2022 ,2599.05
 18_Nov_2022 ,2597.65
 21_Nov_2022 ,2550.9
 22_Nov_2022 ,2565.05
 23_Nov_2022 ,2557.05
 24_Nov_2022 ,2579.1
 25_Nov_2022 ,2617.6
 28_Nov_2022 ,2707.55
 29_Nov_2022 ,2712.2
 30_Nov_2022 ,2731.35
 1_Dec_2022 ,2723.3
 2_Dec_2022 ,2722.15
 5_Dec_2022 ,2682.45
 6_Dec_2022 ,2690.2
 7_Dec_2022 ,2650.5
 8_Dec_2022 ,2649.25
 9_Dec_2022 ,2609.1
 12_Dec_2022 ,2613.1
 13_Dec_2022 ,2625
 14_Dec_2022 ,2615.5
 15_Dec_2022 ,2578.35
 16_Dec_2022 ,2565.6
 19_Dec_2022 ,2599.3
 20_Dec_2022 ,2621.8
 21_Dec_2022 ,2584.5
 22_Dec_2022 ,2577.8
 23_Dec_2022 ,2502.2
 26_Dec_2022 ,2524.05
 27_Dec_2022 ,2544.7
 28_Dec_2022 ,2544.45
 29_Dec_2022 ,2543.3
 30_Dec_2022 ,2547.2
 2_Jan_2023 ,2575.9
 3_Jan_2023 ,2557.05
 4_Jan_2023 ,2518.55
 5_Jan_2023 ,2514.05
 6_Jan_2023 ,2536.9
 9_Jan_2023 ,2596.8
 10_Jan_2023 ,2558.4
 11_Jan_2023 ,2526.15
 12_Jan_2023 ,2471.6
 13_Jan_2023 ,2467.6
 16_Jan_2023 ,2444.1
 17_Jan_2023 ,2478.8
 18_Jan_2023 ,2474.7
 19_Jan_2023 ,2472.05
 20_Jan_2023 ,2442.65
 23_Jan_2023 ,2430.3
 24_Jan_2023 ,2415.95
 25_Jan_2023 ,2382.55
 27_Jan_2023 ,2337.35
 30_Jan_2023 ,2359.75
 31_Jan_2023 ,2353.85
 1_Feb_2023 ,2339.9
 2_Feb_2023 ,2326.95
 3_Feb_2023 ,2329
 6_Feb_2023 ,2311.45
 7_Feb_2023 ,2305.9
 8_Feb_2023 ,2351.95
 9_Feb_2023 ,2356.05
 10_Feb_2023 ,2336.65
 13_Feb_2023 ,2323.35
 14_Feb_2023 ,2378.1
 15_Feb_2023 ,2431.95
 16_Feb_2023 ,2430.05
 17_Feb_2023 ,2440.2
